Viseme event received: audio offset: 50.0ms, viseme id: 0.
Viseme event received: audio offset: 6150.0ms, viseme id: 4.
Viseme event received: audio offset: 6200.0ms, viseme id: 15.
Viseme event received: audio offset: 6287.5ms, viseme id: 1.
Viseme event received: audio offset: 6325.0ms, viseme id: 19.
Viseme event received: audio offset: 6387.5ms, viseme id: 18.
Viseme event received: audio offset: 6450.0ms, viseme id: 13.
Viseme event received: audio offset: 6512.5ms, viseme id: 4.
Viseme event received: audio offset: 6587.5ms, viseme id: 20.
Viseme event received: audio offset: 6675.0ms, viseme id: 20.
Viseme event received: audio offset: 6725.0ms, viseme id: 0.
Viseme event received: audio offset: 6875.0ms, viseme id: 6.
Viseme event received: audio offset: 6950.0ms, viseme id: 19.
Viseme event received: audio offset: 7025.0ms, viseme id: 20.
Viseme event received: audio offset: 7112.5ms, viseme id: 2.
Viseme event received: audio offset: 7175.0ms, viseme id: 19.
Viseme event received: audio offset: 7212.5ms, viseme id: 19.
Viseme event received: audio offset: 7250.0ms, viseme id: 1.
Viseme event received: audio offset: 7312.5ms, viseme id: 19.
Viseme event received: audio offset: 7412.5ms, viseme id: 2.
Viseme event received: audio offset: 7487.5ms, viseme id: 21.
Viseme event received: audio offset: 7537.5ms, viseme id: 1.
Viseme event received: audio offset: 7600.0ms, viseme id: 20.
Viseme event received: audio offset: 7662.5ms, viseme id: 1.
Viseme event received: audio offset: 7800.0ms, viseme id: 15.
Viseme event received: audio offset: 8012.0ms, viseme id: 0.
Viseme event received: audio offset: 8225.0ms, viseme id: 0.
Viseme event received: audio offset: 8275.0ms, viseme id: 6.
Viseme event received: audio offset: 8387.5ms, viseme id: 19.
Viseme event received: audio offset: 8462.5ms, viseme id: 13.
Viseme event received: audio offset: 8525.0ms, viseme id: 8.
Viseme event received: audio offset: 8600.0ms, viseme id: 21.
Viseme event received: audio offset: 8650.0ms, viseme id: 1.
Viseme event received: audio offset: 8700.0ms, viseme id: 19.
Viseme event received: audio offset: 8750.0ms, viseme id: 19.
Viseme event received: audio offset: 8850.0ms, viseme id: 2.
Viseme event received: audio offset: 8900.0ms, viseme id: 6.
Viseme event received: audio offset: 8950.0ms, viseme id: 21.
Viseme event received: audio offset: 9012.5ms, viseme id: 15.
Viseme event received: audio offset: 9075.0ms, viseme id: 15.
Viseme event received: audio offset: 9125.0ms, viseme id: 1.
Viseme event received: audio offset: 9187.5ms, viseme id: 13.
Viseme event received: audio offset: 9250.0ms, viseme id: 1.
Viseme event received: audio offset: 9350.0ms, viseme id: 21.
Viseme event received: audio offset: 9412.5ms, viseme id: 6.
Viseme event received: audio offset: 9512.5ms, viseme id: 20.
Viseme event received: audio offset: 9575.0ms, viseme id: 15.
Viseme event received: audio offset: 9637.0ms, viseme id: 0.
Viseme event received: audio offset: 9662.5ms, viseme id: 7.
Viseme event received: audio offset: 9700.0ms, viseme id: 5.
Viseme event received: audio offset: 9725.0ms, viseme id: 13.
Viseme event received: audio offset: 9762.5ms, viseme id: 21.
Viseme event received: audio offset: 9825.0ms, viseme id: 1.
Viseme event received: audio offset: 9887.5ms, viseme id: 19.
Viseme event received: audio offset: 9962.5ms, viseme id: 6.
Viseme event received: audio offset: 10000.0ms, viseme id: 1.
Viseme event received: audio offset: 10050.0ms, viseme id: 18.
Viseme event received: audio offset: 10125.0ms, viseme id: 1.
Viseme event received: audio offset: 10237.5ms, viseme id: 20.
Viseme event received: audio offset: 10300.0ms, viseme id: 19.
Viseme event received: audio offset: 10325.0ms, viseme id: 16.
Viseme event received: audio offset: 10350.0ms, viseme id: 1.
Viseme event received: audio offset: 10412.5ms, viseme id: 13.
Viseme event received: audio offset: 10450.0ms, viseme id: 19.
Viseme event received: audio offset: 10500.0ms, viseme id: 6.
Viseme event received: audio offset: 10550.0ms, viseme id: 19.
Viseme event received: audio offset: 10612.5ms, viseme id: 12.
Viseme event received: audio offset: 10712.5ms, viseme id: 6.
Viseme event received: audio offset: 10762.5ms, viseme id: 7.
Viseme event received: audio offset: 10875.0ms, viseme id: 19.
Viseme event received: audio offset: 10906.25ms, viseme id: 16.
Viseme event received: audio offset: 10950.0ms, viseme id: 15.
Viseme event received: audio offset: 11037.5ms, viseme id: 4.
Viseme event received: audio offset: 11100.0ms, viseme id: 19.
Viseme event received: audio offset: 11137.5ms, viseme id: 19.
Viseme event received: audio offset: 11200.0ms, viseme id: 13.
Viseme event received: audio offset: 11250.0ms, viseme id: 1.
Viseme event received: audio offset: 11300.0ms, viseme id: 14.
Viseme event received: audio offset: 11362.5ms, viseme id: 2.
Viseme event received: audio offset: 11425.0ms, viseme id: 6.
Viseme event received: audio offset: 11487.5ms, viseme id: 15.
Viseme event received: audio offset: 11550.0ms, viseme id: 19.
Viseme event received: audio offset: 11625.0ms, viseme id: 7.
Viseme event received: audio offset: 11675.0ms, viseme id: 5.
Viseme event received: audio offset: 11725.0ms, viseme id: 13.
Viseme event received: audio offset: 11787.5ms, viseme id: 20.
Viseme event received: audio offset: 11837.5ms, viseme id: 16.
Viseme event received: audio offset: 11950.0ms, viseme id: 2.
Viseme event received: audio offset: 12087.5ms, viseme id: 21.
Viseme event received: audio offset: 12162.5ms, viseme id: 15.
Viseme event received: audio offset: 12237.0ms, viseme id: 0.
Viseme event received: audio offset: 12275.0ms, viseme id: 17.
Viseme event received: audio offset: 12325.0ms, viseme id: 1.
Viseme event received: audio offset: 12375.0ms, viseme id: 19.
Viseme event received: audio offset: 12437.5ms, viseme id: 15.
Viseme event received: audio offset: 12487.5ms, viseme id: 1.
Viseme event received: audio offset: 12550.0ms, viseme id: 21.
Viseme event received: audio offset: 12625.0ms, viseme id: 14.
Viseme event received: audio offset: 12687.5ms, viseme id: 2.
Viseme event received: audio offset: 12725.0ms, viseme id: 6.
Viseme event received: audio offset: 12762.5ms, viseme id: 19.
Viseme event received: audio offset: 12825.0ms, viseme id: 17.
Viseme event received: audio offset: 12862.5ms, viseme id: 6.
Viseme event received: audio offset: 12900.0ms, viseme id: 6.
Viseme event received: audio offset: 12987.5ms, viseme id: 19.
Viseme event received: audio offset: 13037.5ms, viseme id: 19.
Viseme event received: audio offset: 13162.5ms, viseme id: 2.
Viseme event received: audio offset: 13206.25ms, viseme id: 6.
Viseme event received: audio offset: 13250.0ms, viseme id: 1.
Viseme event received: audio offset: 13312.5ms, viseme id: 13.
Viseme event received: audio offset: 13375.0ms, viseme id: 4.
Viseme event received: audio offset: 13462.5ms, viseme id: 21.
Viseme event received: audio offset: 13512.5ms, viseme id: 21.
Viseme event received: audio offset: 13587.5ms, viseme id: 2.
Viseme event received: audio offset: 13656.25ms, viseme id: 6.
Viseme event received: audio offset: 13725.0ms, viseme id: 1.
Viseme event received: audio offset: 13837.5ms, viseme id: 13.
Viseme event received: audio offset: 13887.0ms, viseme id: 0.
Viseme event received: audio offset: 14075.0ms, viseme id: 6.
Viseme event received: audio offset: 14150.0ms, viseme id: 19.
Viseme event received: audio offset: 14200.0ms, viseme id: 17.
Viseme event received: audio offset: 14237.5ms, viseme id: 1.
Viseme event received: audio offset: 14300.0ms, viseme id: 15.
Viseme event received: audio offset: 14375.0ms, viseme id: 19.
Viseme event received: audio offset: 14450.0ms, viseme id: 2.
Viseme event received: audio offset: 14500.0ms, viseme id: 6.
Viseme event received: audio offset: 14550.0ms, viseme id: 14.
Viseme event received: audio offset: 14625.0ms, viseme id: 1.
Viseme event received: audio offset: 14662.5ms, viseme id: 18.
Viseme event received: audio offset: 14725.0ms, viseme id: 20.
Viseme event received: audio offset: 14825.0ms, viseme id: 5.
Viseme event received: audio offset: 14875.0ms, viseme id: 13.
Viseme event received: audio offset: 14912.5ms, viseme id: 1.
Viseme event received: audio offset: 14962.5ms, viseme id: 19.
Viseme event received: audio offset: 14987.5ms, viseme id: 19.
Viseme event received: audio offset: 15025.0ms, viseme id: 6.
Viseme event received: audio offset: 15075.0ms, viseme id: 19.
Viseme event received: audio offset: 15125.0ms, viseme id: 19.
Viseme event received: audio offset: 15187.5ms, viseme id: 1.
Viseme event received: audio offset: 15262.5ms, viseme id: 15.
Viseme event received: audio offset: 15312.5ms, viseme id: 19.
Viseme event received: audio offset: 15387.5ms, viseme id: 13.
Viseme event received: audio offset: 15437.5ms, viseme id: 6.
Viseme event received: audio offset: 15462.5ms, viseme id: 1.
Viseme event received: audio offset: 15500.0ms, viseme id: 14.
Viseme event received: audio offset: 15537.5ms, viseme id: 21.
Viseme event received: audio offset: 15587.5ms, viseme id: 1.
Viseme event received: audio offset: 15650.0ms, viseme id: 19.
Viseme event received: audio offset: 15725.0ms, viseme id: 6.
Viseme event received: audio offset: 15762.5ms, viseme id: 1.
Viseme event received: audio offset: 15812.5ms, viseme id: 18.
Viseme event received: audio offset: 15887.5ms, viseme id: 1.
Viseme event received: audio offset: 16000.0ms, viseme id: 20.
Viseme event received: audio offset: 16062.5ms, viseme id: 19.
Viseme event received: audio offset: 16087.5ms, viseme id: 16.
Viseme event received: audio offset: 16112.5ms, viseme id: 1.
Viseme event received: audio offset: 16162.5ms, viseme id: 13.
Viseme event received: audio offset: 16200.0ms, viseme id: 6.
Viseme event received: audio offset: 16300.0ms, viseme id: 20.
Viseme event received: audio offset: 16437.0ms, viseme id: 0.
Viseme event received: audio offset: 16650.0ms, viseme id: 0.
Viseme event received: audio offset: 16700.0ms, viseme id: 17.
Viseme event received: audio offset: 16787.5ms, viseme id: 1.
Viseme event received: audio offset: 16862.5ms, viseme id: 7.
Viseme event received: audio offset: 16925.0ms, viseme id: 5.
Viseme event received: audio offset: 16975.0ms, viseme id: 13.
Viseme event received: audio offset: 17037.5ms, viseme id: 20.
Viseme event received: audio offset: 17075.0ms, viseme id: 16.
Viseme event received: audio offset: 17175.0ms, viseme id: 2.
Viseme event received: audio offset: 17262.5ms, viseme id: 21.
Viseme event received: audio offset: 17325.0ms, viseme id: 15.
Viseme event received: audio offset: 17400.0ms, viseme id: 1.
Viseme event received: audio offset: 17437.5ms, viseme id: 18.
Viseme event received: audio offset: 17487.5ms, viseme id: 15.
Viseme event received: audio offset: 17587.5ms, viseme id: 1.
Viseme event received: audio offset: 17662.5ms, viseme id: 17.
Viseme event received: audio offset: 17712.5ms, viseme id: 1.
Viseme event received: audio offset: 17750.0ms, viseme id: 13.
Viseme event received: audio offset: 17787.5ms, viseme id: 19.
Viseme event received: audio offset: 17825.0ms, viseme id: 20.
Viseme event received: audio offset: 17912.5ms, viseme id: 3.
Viseme event received: audio offset: 18075.0ms, viseme id: 14.
Viseme event received: audio offset: 18175.0ms, viseme id: 0.
Viseme event received: audio offset: 18225.0ms, viseme id: 13.
Viseme event received: audio offset: 18300.0ms, viseme id: 6.
Viseme event received: audio offset: 18337.5ms, viseme id: 21.
Viseme event received: audio offset: 18437.5ms, viseme id: 14.
Viseme event received: audio offset: 18500.0ms, viseme id: 4.
Viseme event received: audio offset: 18537.5ms, viseme id: 6.
Viseme event received: audio offset: 18575.0ms, viseme id: 15.
Viseme event received: audio offset: 18637.5ms, viseme id: 19.
Viseme event received: audio offset: 18700.0ms, viseme id: 17.
Viseme event received: audio offset: 18737.5ms, viseme id: 6.
Viseme event received: audio offset: 18775.0ms, viseme id: 6.
Viseme event received: audio offset: 18862.5ms, viseme id: 19.
Viseme event received: audio offset: 18987.5ms, viseme id: 1.
Viseme event received: audio offset: 19062.5ms, viseme id: 14.
Viseme event received: audio offset: 19137.5ms, viseme id: 6.
Viseme event received: audio offset: 19212.5ms, viseme id: 1.
Viseme event received: audio offset: 19275.0ms, viseme id: 19.
Viseme event received: audio offset: 19350.0ms, viseme id: 15.
Viseme event received: audio offset: 19400.0ms, viseme id: 0.
Viseme event received: audio offset: 19450.0ms, viseme id: 6.
Viseme event received: audio offset: 19512.5ms, viseme id: 19.
Viseme event received: audio offset: 19550.0ms, viseme id: 17.
Viseme event received: audio offset: 19587.5ms, viseme id: 1.
Viseme event received: audio offset: 19637.5ms, viseme id: 19.
Viseme event received: audio offset: 19750.0ms, viseme id: 2.
Viseme event received: audio offset: 19787.5ms, viseme id: 6.
Viseme event received: audio offset: 19825.0ms, viseme id: 21.
Viseme event received: audio offset: 19887.5ms, viseme id: 1.
Viseme event received: audio offset: 19925.0ms, viseme id: 18.
Viseme event received: audio offset: 19962.5ms, viseme id: 1.
Viseme event received: audio offset: 20037.5ms, viseme id: 20.
Viseme event received: audio offset: 20100.0ms, viseme id: 1.
Viseme event received: audio offset: 20200.0ms, viseme id: 15.
Viseme event received: audio offset: 20287.5ms, viseme id: 19.
Viseme event received: audio offset: 20337.5ms, viseme id: 1.
Viseme event received: audio offset: 20487.5ms, viseme id: 15.
Viseme event received: audio offset: 20687.0ms, viseme id: 0.
Viseme event received: audio offset: 20900.0ms, viseme id: 0.
Viseme event received: audio offset: 20950.0ms, viseme id: 17.
Viseme event received: audio offset: 21050.0ms, viseme id: 6.
Viseme event received: audio offset: 21137.5ms, viseme id: 15.
Viseme event received: audio offset: 21212.5ms, viseme id: 21.
Viseme event received: audio offset: 21262.5ms, viseme id: 4.
Viseme event received: audio offset: 21306.25ms, viseme id: 6.
Viseme event received: audio offset: 21350.0ms, viseme id: 19.
Viseme event received: audio offset: 21387.5ms, viseme id: 17.
Viseme event received: audio offset: 21425.0ms, viseme id: 1.
Viseme event received: audio offset: 21487.5ms, viseme id: 18.
Viseme event received: audio offset: 21587.5ms, viseme id: 4.
Viseme event received: audio offset: 21637.5ms, viseme id: 6.
Viseme event received: audio offset: 21687.5ms, viseme id: 21.
Viseme event received: audio offset: 21737.5ms, viseme id: 1.
Viseme event received: audio offset: 21812.5ms, viseme id: 15.
Viseme event received: audio offset: 21875.0ms, viseme id: 1.
Viseme event received: audio offset: 22012.5ms, viseme id: 13.
Viseme event received: audio offset: 22075.0ms, viseme id: 1.
Viseme event received: audio offset: 22137.5ms, viseme id: 19.
Viseme event received: audio offset: 22237.5ms, viseme id: 6.
Viseme event received: audio offset: 22312.5ms, viseme id: 19.
Viseme event received: audio offset: 22387.5ms, viseme id: 21.
Viseme event received: audio offset: 22475.0ms, viseme id: 2.
Viseme event received: audio offset: 22575.0ms, viseme id: 19.
Viseme event received: audio offset: 22637.5ms, viseme id: 1.
Viseme event received: audio offset: 22675.0ms, viseme id: 13.
Viseme event received: audio offset: 22750.0ms, viseme id: 6.
Viseme event received: audio offset: 22875.0ms, viseme id: 0.
Viseme event received: audio offset: 22900.0ms, viseme id: 17.
Viseme event received: audio offset: 22950.0ms, viseme id: 1.
Viseme event received: audio offset: 22987.5ms, viseme id: 19.
Viseme event received: audio offset: 23037.5ms, viseme id: 7.
Viseme event received: audio offset: 23075.0ms, viseme id: 1.
Viseme event received: audio offset: 23112.5ms, viseme id: 15.
Viseme event received: audio offset: 23175.0ms, viseme id: 6.
Viseme event received: audio offset: 23237.5ms, viseme id: 20.
Viseme event received: audio offset: 23287.5ms, viseme id: 15.
Viseme event received: audio offset: 23362.5ms, viseme id: 21.
Viseme event received: audio offset: 23425.0ms, viseme id: 3.
Viseme event received: audio offset: 23487.5ms, viseme id: 13.
Viseme event received: audio offset: 23537.5ms, viseme id: 19.
Viseme event received: audio offset: 23587.5ms, viseme id: 6.
Viseme event received: audio offset: 23650.0ms, viseme id: 19.
Viseme event received: audio offset: 23700.0ms, viseme id: 0.
Viseme event received: audio offset: 23725.0ms, viseme id: 19.
Viseme event received: audio offset: 23787.5ms, viseme id: 13.
Viseme event received: audio offset: 23837.5ms, viseme id: 7.
Viseme event received: audio offset: 23875.0ms, viseme id: 2.
Viseme event received: audio offset: 23906.25ms, viseme id: 4.
Viseme event received: audio offset: 23937.5ms, viseme id: 19.
Viseme event received: audio offset: 24012.5ms, viseme id: 17.
Viseme event received: audio offset: 24050.0ms, viseme id: 6.
Viseme event received: audio offset: 24087.5ms, viseme id: 4.
Viseme event received: audio offset: 24212.5ms, viseme id: 21.
Viseme event received: audio offset: 24250.0ms, viseme id: 21.
Viseme event received: audio offset: 24325.0ms, viseme id: 2.
Viseme event received: audio offset: 24387.5ms, viseme id: 6.
Viseme event received: audio offset: 24450.0ms, viseme id: 1.
Viseme event received: audio offset: 24550.0ms, viseme id: 13.
Viseme event received: audio offset: 24687.0ms, viseme id: 0.
Viseme event received: audio offset: 24900.0ms, viseme id: 0.
Viseme event received: audio offset: 24950.0ms, viseme id: 19.
Viseme event received: audio offset: 25025.0ms, viseme id: 7.
Viseme event received: audio offset: 25050.0ms, viseme id: 6.
Viseme event received: audio offset: 25075.0ms, viseme id: 7.
Viseme event received: audio offset: 25137.5ms, viseme id: 7.
Viseme event received: audio offset: 25175.0ms, viseme id: 2.
Viseme event received: audio offset: 25237.5ms, viseme id: 19.
Viseme event received: audio offset: 25275.0ms, viseme id: 19.
Viseme event received: audio offset: 25300.0ms, viseme id: 19.
Viseme event received: audio offset: 25350.0ms, viseme id: 4.
Viseme event received: audio offset: 25387.5ms, viseme id: 19.
Viseme event received: audio offset: 25475.0ms, viseme id: 8.
Viseme event received: audio offset: 25562.5ms, viseme id: 1.
Viseme event received: audio offset: 25637.5ms, viseme id: 20.
Viseme event received: audio offset: 25700.0ms, viseme id: 6.
Viseme event received: audio offset: 25775.0ms, viseme id: 4.
Viseme event received: audio offset: 25812.5ms, viseme id: 13.
Viseme event received: audio offset: 25862.5ms, viseme id: 6.
Viseme event received: audio offset: 25950.0ms, viseme id: 2.
Viseme event received: audio offset: 26050.0ms, viseme id: 15.
Viseme event received: audio offset: 26150.0ms, viseme id: 1.
Viseme event received: audio offset: 26212.5ms, viseme id: 19.
Viseme event received: audio offset: 26250.0ms, viseme id: 6.
Viseme event received: audio offset: 26450.0ms, viseme id: 0.
